Name,Link
연합뉴스 바로가기,#news_cast
주제별캐스트 바로가기,#themecast
타임스퀘어 바로가기,#time_square
쇼핑캐스트 바로가기,#shp_cst
로그인 바로가기,#account
네이버를 시작페이지로,http://help.naver.com/support/alias/contents2/naverhome/naverhome_1.naver
쥬니어네이버,http://jr.naver.com
해피빈,http://happybean.naver.com/main/SectionMain.nhn
자동완성 펼치기,javascript:;
한글 입력기,javascript:;
도움말 보기,https://help.naver.com/support/contents/contents.nhn?serviceNo=606&categoryNo=16658
ON선택됨,#
OFF,#
로그인,https://nid.naver.com/nidlogin.login
자세히,https://help.naver.com/support/alias/search/word/word_16.naver
자세히,https://help.naver.com/support/contents/contents.nhn?serviceNo=606&categoryNo=16659
도움말,https://help.naver.com/support/service/main.nhn?serviceNo=606&categoryNo=1987
신고,https://help.naver.com/support/contents/contents.nhn?serviceNo=605&categoryNo=18215
검색어저장 켜기,javascript:;
자동완성 끄기,javascript:;
도움말,https://help.naver.com/support/service/main.nhn?serviceNo=606&categoryNo=1987
신고,https://help.naver.com/support/contents/contents.nhn?serviceNo=605&categoryNo=18215
검색어저장 켜기,javascript:;
자동완성 끄기,javascript:;
도움말,https://help.naver.com/support/service/main.nhn?serviceNo=606&categoryNo=1987
신고,https://help.naver.com/support/contents/contents.nhn?serviceNo=605&categoryNo=18215
검색어저장 켜기,javascript:;
자동완성 끄기,javascript:;
도움말,https://help.naver.com/support/service/main.nhn?serviceNo=606&categoryNo=1987
신고,https://help.naver.com/support/contents/contents.nhn?serviceNo=605&categoryNo=18215
검색어저장 켜기,javascript:;
자동완성 켜기,javascript:;
최근검색어,javascript:;
내 검색어,javascript:;
내 검색어 등록,javascript:;
@txt@,javascript:;
삭제,javascript:;
내 검색어 해제,javascript:;
@txt@,javascript:;
기록 삭제,javascript:;
검색어저장 끄기,javascript:;
자동완성 끄기,javascript:;
기록 전체 삭제,javascript:;
완료,javascript:;
기록 전체 삭제,javascript:;
검색어저장 끄기,javascript:;
자동완성 끄기,javascript:;
닫기,javascript:;
자세히보기,
메일,http://mail.naver.com/
카페,http://section.cafe.naver.com/
블로그,http://section.blog.naver.com/
지식인,http://kin.naver.com/
쇼핑,http://shopping2.naver.com/
네이버페이,http://pay.naver.com/
네이버TV,http://tv.naver.com/
사전,http://dic.naver.com/
뉴스,http://news.naver.com/
증권(금융),http://finance.naver.com/
부동산,http://land.naver.com/
지도,https://map.naver.com/
영화,http://movie.naver.com/
뮤직,http://music.naver.com
책,http://book.naver.com/
만화 / 웹툰,http://comic.naver.com/
더보기,#
"1
베드버그",#
"2
제시",#
"3
케이트 업튼",#
"4
5유로",#
"5
잠실 날씨",#
"6
스페인 순례자의 길",#
"7
순례자",#
"8
홍콩 디즈니랜드 호텔",#
"9
1유로",#
"10
안혜경",#
"11
2019 프로야구 중계",#
"12
오덴세",#
"13
프로야구",#
"14
13유로",#
"15
나혼자산다 홍콩 호텔",#
"16
텍사스 데 브라질",#
"17
좋아해줘",#
"18
고영배",#
"19
야구",#
"20
하하 김종국 고깃집",#
DataLab.급상승 트래킹,http://datalab.naver.com/keyword/realtimeList.naver?where=main
1~10위,#
11~20위,#
"1
베드버그",http://search.naver.com/search.naver?where=nexearch&query=%EB%B2%A0%EB%93%9C%EB%B2%84%EA%B7%B8&sm=top_lve&ie=utf8
데이터랩 그래프 보기,http://datalab.naver.com/keyword/realtimeDetail.naver?datetime=2019-03-23T13:54:00&query=%EB%B2%A0%EB%93%9C%EB%B2%84%EA%B7%B8&where=main
"2
제시",http://search.naver.com/search.naver?where=nexearch&query=%EC%A0%9C%EC%8B%9C&sm=top_lve&ie=utf8
데이터랩 그래프 보기,http://datalab.naver.com/keyword/realtimeDetail.naver?datetime=2019-03-23T13:54:00&query=%EC%A0%9C%EC%8B%9C&where=main
"3
케이트 업튼",http://search.naver.com/search.naver?where=nexearch&query=%EC%BC%80%EC%9D%B4%ED%8A%B8+%EC%97%85%ED%8A%BC&sm=top_lve&ie=utf8
데이터랩 그래프 보기,http://datalab.naver.com/keyword/realtimeDetail.naver?datetime=2019-03-23T13:54:00&query=%EC%BC%80%EC%9D%B4%ED%8A%B8+%EC%97%85%ED%8A%BC&where=main
"4
5유로",http://search.naver.com/search.naver?where=nexearch&query=5%EC%9C%A0%EB%A1%9C&sm=top_lve&ie=utf8
데이터랩 그래프 보기,http://datalab.naver.com/keyword/realtimeDetail.naver?datetime=2019-03-23T13:54:00&query=5%EC%9C%A0%EB%A1%9C&where=main
"5
잠실 날씨",http://search.naver.com/search.naver?where=nexearch&query=%EC%9E%A0%EC%8B%A4+%EB%82%A0%EC%94%A8&sm=top_lve&ie=utf8
데이터랩 그래프 보기,http://datalab.naver.com/keyword/realtimeDetail.naver?datetime=2019-03-23T13:54:00&query=%EC%9E%A0%EC%8B%A4+%EB%82%A0%EC%94%A8&where=main
"6
스페인 순례자의 길",http://search.naver.com/search.naver?where=nexearch&query=%EC%8A%A4%ED%8E%98%EC%9D%B8+%EC%88%9C%EB%A1%80%EC%9E%90%EC%9D%98+%EA%B8%B8&sm=top_lve&ie=utf8
